,website_type,tracking_type,tracking_number,Y,Y_predicted
1568,WANHAI,BILL_OF_LOADING_NUMBER,035DX29410,51,52
584,MSC,CONTAINER_NUMBER,MSDU7554452,35,35
1049,ONE,BOOKING_NUMBER,NGOD24299700,40,40
1530,OOCL,CONTAINER_NUMBER,OOLU0564482,44,35
237,EVERGREEN,BOOKING_NUMBER,020300404340,13,13
1206,ONE,BOOKING_NUMBER,TYOD45414700,40,40
1079,ONE,BOOKING_NUMBER,TYOD99997400,40,40
1723,WANHAI,CONTAINER_NUMBER,HJLU1399430,53,35
1057,ONE,BOOKING_NUMBER,BKKDM3490700,40,40
212,EVERGREEN,BOOKING_NUMBER,100350135191,13,13
23,COSCO,BILL_OF_LOADING_NUMBER,6357364000,6,43
618,MSC,CONTAINER_NUMBER,FFAU1245680,35,35
63,COSCO,CONTAINER_NUMBER,CSNU1868923,8,35
765,MSC,CONTAINER_NUMBER,MSDU8366589,35,35
298,HAPAGLLOYD,BOOKING_NUMBER,71626151,19,19
1763,WESTWOOD,BILL_OF_LOADING_NUMBER,MR055FSTM021,54,54
1278,ONE,CONTAINER_NUMBER,TCLU8676263,41,35
433,MAERSK,BOOKING_NUMBER,230781942,31,30
1875,YANGMING,BOOKING_NUMBER,N272037291,58,58
1240,ONE,BOOKING_NUMBER,BKKCE3444600,40,40
495,MSC,BOOKING_NUMBER,EBKG05239707,34,40
1602,WANHAI,BOOKING_NUMBER,035CX82665,52,52
331,HMM,BOOKING_NUMBER,TYOM09670100,22,40
1837,YANGMING,BOOKING_NUMBER,N272039010,58,58
1821,YANGMING,BILL_OF_LOADING_NUMBER,YMJAM912046936,57,57
1851,YANGMING,BOOKING_NUMBER,YMFCPH0026516,58,58
1488,OOCL,CONTAINER_NUMBER,CAIU6030175,44,35
744,MSC,CONTAINER_NUMBER,MEDURI586435,35,33
1726,WANHAI,CONTAINER_NUMBER,SEGU1341741,53,35
670,MSC,CONTAINER_NUMBER, CAXU7204210,35,40
917,NAMSUNG,CONTAINER_NUMBER,TCLU6924340,38,35
1406,OOCL,BILL_OF_LOADING_NUMBER,OOLU2717006320,42,42
115,EVERGREEN,BOOKING_NUMBER,020300220427,13,13
1850,YANGMING,BOOKING_NUMBER,W272037080,58,58
1632,WANHAI,BOOKING_NUMBER,011DA05792,52,52
1833,YANGMING,BOOKING_NUMBER,I272176844,58,58
590,MSC,CONTAINER_NUMBER,MSMU8625270,35,35
416,MAERSK,BILL_OF_LOADING_NUMBER,MRKU8205274,30,35
247,HAMBURGSUD,BILL_OF_LOADING_NUMBER,SUDU33SYD005084X,15,15
398,KMTC,CONTAINER_NUMBER,TEMU0430115,29,35
439,MAERSK,CONTAINER_NUMBER,MRKU8205274,32,35
414,MAERSK,BILL_OF_LOADING_NUMBER,225817422,30,30
218,EVERGREEN,BOOKING_NUMBER,020300293394,13,13
173,EVERGREEN,BOOKING_NUMBER,024300073282,13,13
841,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCSDC2200008,36,36
1198,ONE,BOOKING_NUMBER,TYOD56579700,40,40
1820,YANGMING,BILL_OF_LOADING_NUMBER,YMJAN900050526,57,57
1026,ONE,BILL_OF_LOADING_NUMBER,GOAD27763400,39,40
1847,YANGMING,BOOKING_NUMBER,YMFCPH0026771,58,58
1738,WANHAI,CONTAINER_NUMBER,WHLU0205001,53,35
743,MSC,CONTAINER_NUMBER,CAIU7607549,35,35
32,COSCO,BOOKING_NUMBER,6367151430,7,43
1288,ONE,CONTAINER_NUMBER,TGBU3230390,41,35
534,MSC,BOOKING_NUMBER,206ITY0055470,34,34
382,KMTC,BOOKING_NUMBER,IN00396759,28,28
124,EVERGREEN,BOOKING_NUMBER,504100021021,13,13
1043,ONE,BOOKING_NUMBER,DACD20421700,40,40
163,EVERGREEN,BOOKING_NUMBER,504100021101,13,13
704,MSC,CONTAINER_NUMBER,MEDU8543922,35,35
1717,WANHAI,CONTAINER_NUMBER,WHSU2940464,53,35
1884,YANGMING,BOOKING_NUMBER,W272036971,58,58
429,MAERSK,BOOKING_NUMBER,230684492,31,30
49,COSCO,BOOKING_NUMBER,7245119880,7,43
1831,YANGMING,BILL_OF_LOADING_NUMBER,YMJAM912046830,57,57
1644,WANHAI,BOOKING_NUMBER,051DA03350,52,52
1471,OOCL,CONTAINER_NUMBER,CSNU1255325,44,35
767,MSC,CONTAINER_NUMBER,NEXU9513353,35,35
1068,ONE,BOOKING_NUMBER,BKKDK4123600,40,40
1364,ONE,CONTAINER_NUMBER,TEMU4598534,41,35
1594,WANHAI,BOOKING_NUMBER,114D000979,52,43
570,MSC,CONTAINER_NUMBER,TCLU9814161,35,35
239,EVERGREEN,BOOKING_NUMBER,504100019662,13,13
976,NAMSUNG,CONTAINER_NUMBER,SEGU3243148,38,35
1871,YANGMING,BOOKING_NUMBER,YMFVLC0028948,58,58
411,MAERSK,BILL_OF_LOADING_NUMBER,225557384,30,30
1653,WANHAI,BOOKING_NUMBER,008DX49668,52,52
772,MSC,CONTAINER_NUMBER,TEMU8563829,35,35
1862,YANGMING,BOOKING_NUMBER,N272039935,58,58
1626,WANHAI,BOOKING_NUMBER,035CX66205,52,52
78,EVERGREEN,BILL_OF_LOADING_NUMBER,550300083491,12,13
59,COSCO,BOOKING_NUMBER,5158672260,7,43
1105,ONE,BOOKING_NUMBER,TYODA0586900,40,40
1770,WESTWOOD,BOOKING_NUMBER,J23TAK00299,55,35
1467,OOCL,CONTAINER_NUMBER,OOLU0910707,44,35
73,EVERGREEN,BILL_OF_LOADING_NUMBER,550300088662,12,13
351,HMM,CONTAINER_NUMBER,TGBU6471050,23,35
1341,ONE,CONTAINER_NUMBER,KKTU8236274,41,35
210,EVERGREEN,BOOKING_NUMBER,020300428915,13,13
69,DONGJIN,BILL_OF_LOADING_NUMBER,DJSCSHA230005699,9,18
162,EVERGREEN,BOOKING_NUMBER,020300401987,13,13
561,MSC,CONTAINER_NUMBER,MSMU8986420,35,35
613,MSC,CONTAINER_NUMBER,TTNU9301636,35,35
987,ONE,BILL_OF_LOADING_NUMBER,RTMD24405400,39,40
1604,WANHAI,BOOKING_NUMBER,035CX80922,52,52
598,MSC,CONTAINER_NUMBER, TEMU8467743,35,40
701,MSC,CONTAINER_NUMBER,TCLU5308606,35,35
