website_type,tracking_type,tracking_number,created_at,loading_port,departure_time
COSCO,BOOKING_NUMBER,5158628810,2023/06/20,Yokohama-Honmoku BC-2 Container Terminal,2023/06/17 04:55:00
COSCO,BOOKING_NUMBER,6231541000,2023/07/28,Kobe,2023/07/22 19:44:00
COSCO,BOOKING_NUMBER,5158645860,2023/06/20,Kobe-PC14 Container Terminal,2023/07/04 20:59:00
COSCO,BOOKING_NUMBER,5158672250,2023/06/20,"Yokohama-Minamihonmoku Container Tml MC1, 2",2023/06/25 16:22:00
COSCO,BOOKING_NUMBER,5158672260,2023/06/20,"Yokohama-Minamihonmoku Container Tml MC1, 2",2023/06/25 16:22:00
COSCO,BOOKING_NUMBER,6366878290,2023/10/25,Kotka,2023/10/17 17:34:00
COSCO,BOOKING_NUMBER,6454689920,2023/05/25,Nagoya-Nabeta Pier Container Terminal,2023/05/17 16:16:00
COSCO,CONTAINER_NUMBER,TRHU5799964,2023/07/15,"Guangzhou South China Oceangate,Nansha,Guangdong,China",2023/06/24 19:35:00
COSCO,CONTAINER_NUMBER,CSNU1868923,2023/10/25,Genoa,2023/10/12 00:46:00
COSCO,CONTAINER_NUMBER,FFMU2203525,2023/04/07,"PC15/16/17 Container Terminal,Kobe,Hyogo,Japan",2023/03/15 02:21:00
COSCO,CONTAINER_NUMBER,TRHU5799964,2023/04/07,"PC15/16/17 Container Terminal,Kobe,Hyogo,Japan",2023/02/14 10:23:00
COSCO,CONTAINER_NUMBER,CBHU4306095,2023/06/26,"Chennai Int'l Terminals Pvt Ltd.,,Chennai,Tamil Nadu,India",2023/05/27 06:56:00
DONGJIN,BILL_OF_LOADING_NUMBER,DJSCSHA230005238,2023/06/24,"SHANGHAI ,CHINA",2023/06/03 06:00:00
DONGJIN,BILL_OF_LOADING_NUMBER,DJSCSHA230005238,2023/06/13,"SHANGHAI ,CHINA",2023/06/03 06:00:00
DONGJIN,BILL_OF_LOADING_NUMBER,DJSCSHA230005699,2023/06/24,"SHANGHAI ,CHINA",2023/06/20 12:00:00
DONGJIN,BOOKING_NUMBER,DJSCSHA230005238,2023/06/13,"SHANGHAI ,CHINA",2023/06/03 06:00:00
DONGJIN,BOOKING_NUMBER,DJSCSHA230005699,2023/06/13,"SHANGHAI ,CHINA",2023/06/20 12:00:00
DONGJIN,CONTAINER_NUMBER,BMOU1559166,2023/06/13,"SHANGHAI ,CHINA",2023/06/03 06:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300088662,2023/10/06,ANCONA (IT),2023/09/13 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300093496,2023/10/31,VENICE (IT),2023/09/27 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300095375,2023/10/31,VENICE (IT),2023/09/27 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300095898,2023/10/31,VENICE (IT),2023/09/27 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300083512,2023/09/22,VENICE (IT),2023/08/16 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300083491,2023/09/22,VENICE (IT),2023/08/16 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300083504,2023/09/22,GENOA (IT),2023/08/14 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300088948,2023/10/16,ANCONA (IT),2023/09/13 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300085931,2023/09/26,VENICE (IT),2023/08/25 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300086988,2023/10/16,VENICE (IT),2023/08/30 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300091990,2023/10/26,LA SPEZIA (IT),2023/09/16 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,501300024721,2023/10/16,RAUMA (FI),2023/10/14 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300072031,2023/09/22,LA SPEZIA (IT),2023/07/29 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,550300094379,2023/10/25,VENICE (IT),2023/09/27 00:00:00
EVERGREEN,BILL_OF_LOADING_NUMBER,554310008592,2023/09/26,POTI (GE),2023/08/12 00:00:00
